title,city,listing_city,district,size,rent,available_from,url,price_per_sqm,avg_ppm_diff,rent_index_diff,available_until,flatmates,flatmate_details,flatmates_female,flatmates_male,flatmates_diverse,rooms_free,room_type,online_since,straight_line_km,distance_km,duration_min,transit_distance_km,transit_duration_min,is_transit_estimated
Zimmer frei ab 1.4. in zentralem Altbau,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,13.0,650.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12083959.html,50.0,14.18,,,4,"2w,1m,0d,0n",2,1,0,,,,9.37,,,26.13,9.6,True
Zentral gelegenes WG-Zimmer in Stuttgart-Mitte,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,10.0,480.0,09.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12100663.html,48.0,12.18,,,3,"0w,2m,0d,0n",0,2,0,,,,9.37,,,26.13,9.6,True
Zimmer in bester lage Untermiete jetzt bis September/ Oktober,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,14.0,350.0,"20.02.2026
                    
                                            - 12.09.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12109644.html,25.0,-10.82,,,9,"3w,5m,0d,0n",3,5,0,,,,9.37,,,26.13,9.6,True
Zeitwohnen ab 1 Monat | WG-Zimmer Stuttgart Zentrum | Urbanbnb – Online buchen,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,11.0,690.0,14.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12125298.html,62.73,26.91,,,3,"1w,1m,0d,0n",1,1,0,,,,9.37,,,26.13,9.6,True
"23qm grosses, zentrales & möbliertes Zimmer mitten in der City","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,23.0,590.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12206010.html,25.65,-10.17,,,5,"0w,4m,0d,0n",0,4,0,,,,9.37,,,26.13,9.6,True
Möbliertes Zimmer in Altbauwohnung ab 01.03.26,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,12.0,520.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12252566.html,43.33,7.51,,,5,"4w,0m,0d,0n",4,0,0,,,,9.37,,,26.13,9.6,True
CITY ZENTRAL - BEFRISTET UND UNBEFRISTET - NETTES MÖBLIERTES ZIMMER FÜR NETTEN KERL,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,17.0,578.0,"15.03.2026
                    
                                            - 15.08.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12257263.html,34.0,-1.82,,,2,"0w,1m,0d,0n",0,1,0,,,,9.37,,,26.13,9.6,True
CITY ZENTRAL - PENDLER BEVORZUGT - NETTES MÖBLIERTES ZIMMER FÜR NETTEN KERL,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,17.0,575.0,"01.04.2026
                    
                                            - 28.08.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12257615.html,33.82,-2.0,,,2,"0w,1m,0d,0n",0,1,0,,,,9.37,,,26.13,9.6,True
Zentrales WG Zimmer - ruhige Lage,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,13.0,350.0,14.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12495246.html,26.92,-8.9,,,4,"2w,1m,0d,0n",2,1,0,,,,9.37,,,26.13,9.6,True
vollmöbeliertes zimmer in èin 3er WG,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,15.0,590.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12536152.html,39.33,3.51,,,3,"1w,1m,0d,0n",1,1,0,,,,9.37,,,26.13,9.6,True
Mitbewohner/in gesucht - schönes WG-Zimmer in moderner 2er-WG,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,15.0,995.0,01.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12581245.html,66.33,30.51,,,2,"1w,0m,0d,0n",1,0,0,,,,9.37,,,26.13,9.6,True
Modernes WG-Zimmer | zentrumsnah,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,16.0,890.0,15.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12614744.html,55.62,19.8,,,4,"0w,3m,0d,0n",0,3,0,,,,9.37,,,26.13,9.6,True
Zentrales 26qm WG-Zimmer in Stuttgart-Mitte,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,26.0,695.0,14.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12619873.html,26.73,-9.09,,,6,"1w,3m,0d,0n",1,3,0,,,,9.37,,,26.13,9.6,True
WG-Zimmer im Heusteigviertel,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,21.0,650.0,"01.02.2026
                    
                                            - 31.12.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12648576.html,30.95,-4.87,,,3,"0w,2m,0d,0n",0,2,0,,,,9.37,,,26.13,9.6,True
Roomy gesucht! 100m2 mit Garten und Garage,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,17.0,600.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12726710.html,35.29,-0.53,,,2,"0w,1m,0d,0n",0,1,0,,,,9.37,,,26.13,9.6,True
Tolles Zimmer möbliert in einer WG,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,16.0,668.0,01.06.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12756256.html,41.75,5.93,,,3,"2w,0m,0d,0n",2,0,0,,,,9.37,,,26.13,9.6,True
WG in der Stadtmitte- sucht Mitbewohner/in 🫰🏻,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,30.0,645.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12806514.html,21.5,-14.32,,,3,"1w,1m,0d,0n",1,1,0,,,,9.37,,,26.13,9.6,True
Zentrales Zimmer am Olgaeck,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,14.0,380.0,"01.02.2026
                    
                                            - 30.06.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12867418.html,27.14,-8.68,,,5,"2w,1m,1d,0n",2,1,1,,,,9.37,,,26.13,9.6,True
Sublent/Untermiete in großem hellen WG-Zimmer in Mitte.,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,26.0,620.0,"15.02.2026
                    
                                            - 31.07.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12868115.html,23.85,-11.97,,,5,"1w,3m,0d,0n",1,3,0,,,,9.37,,,26.13,9.6,True
WG-Zimmer in Stuttgart-Mitte,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,15.0,590.0,"01.03.2026
                    
                                            - 28.02.2027",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12871647.html,39.33,3.51,,,3,"0w,1m,0d,0n",0,1,0,,,,9.37,,,26.13,9.6,True
zentrale WG sucht Mitbewohner:in,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,20.0,570.0,05.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12910029.html,28.5,-7.32,,,4,"1w,2m,0d,0n",1,2,0,,,,9.37,,,26.13,9.6,True
Möbliertes WG Zimmer mit Terrasse nähe Milano,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,25.0,610.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12915154.html,24.4,-11.42,,,3,"0w,2m,0d,0n",0,2,0,,,,9.37,,,26.13,9.6,True
Zimmer frei in entspannter doppelt WG in Stuttgart-Mitte (ab Februar),"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,11.0,520.0,08.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12924182.html,47.27,11.45,,,5,"1w,3m,0d,0n",1,3,0,,,,9.37,,,26.13,9.6,True
WG-Zimmer ab Mitte Februar bis Ende März,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,12.0,369.0,"18.02.2026
                    
                                            - 31.03.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12938315.html,30.75,-5.07,,,4,"2w,1m,0d,0n",2,1,0,,,,9.37,,,26.13,9.6,True
2 Zimmer in wunderschöner Altbauwohnung,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,17.0,700.0,15.03.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12942215.html,41.18,5.36,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Zwei freie Zimmer in wunderschöner Altbau-WG,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,11.0,650.0,01.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12943022.html,59.09,23.27,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
"🌞 City Life Made Simple: Cozy Shared Apartment, Prime Location","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,22.0,680.0,"10.02.2026
                    
                                            - 10.04.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12953127.html,30.91,-4.91,,,5,"1w,2m,0d,0n",1,2,0,,,,9.37,,,26.13,9.6,True
"Großes, schönes, möbliertes WG-Zimmer in schöner Altbauwohnung zur Zwischenmiete im Zentrum Stuttgarts","Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,28.0,770.0,"01.03.2026
                    
                                            - 15.04.2026",https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12954001.html,27.5,-8.32,,,5,"1w,3m,0d,0n",1,3,0,,,,9.37,,,26.13,9.6,True
Ein helles Zimmer,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,16.0,730.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12954222.html,45.62,9.8,,,2,"1w,0m,0d,0n",1,0,0,,,,9.37,,,26.13,9.6,True
Schönes Zimmer in 5er Altbau WG,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,18.0,650.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12963536.html,36.11,0.29,,,5,"1w,3m,0d,0n",1,3,0,,,,9.37,,,26.13,9.6,True
Olgaeck-WG sucht Mitbewohner*in!!,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,16.0,680.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12966934.html,42.5,6.68,,,4,"0w,3m,0d,0n",0,3,0,,,,9.37,,,26.13,9.6,True
WG-Neugründung in top Lage Stuttgart Mitte - 5 Zimmer zu vermieten!,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,25.0,523.0,15.02.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12975957.html,20.92,-14.9,,,5,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
Modernes WG Zimmer in Stuttgart-Mitte,"Stuttgart
                            
                            Mitte","Stuttgart
                            
                            Mitte",,11.0,520.0,01.04.2026,https://www.wg-gesucht.de/wg-zimmer-in-Stuttgart-Mitte.12985912.html,47.27,11.45,,,3,"0w,0m,0d,0n",0,0,0,,,,9.37,,,26.13,9.6,True
